ReviewID;ISBN13;CustomerID;Rating;Comment;Date
1;978-3-16-148410-0;1;5;Loved it! A truly mesmerizing journey.;2023-04-05
2;978-0-7432-7359-0;5;4;Great read, but a bit slow in the middle.;2023-04-10
3;978-1-250-20316-2;3;5;Absolutely fantastic! Couldn't put it down.;2023-04-15
4;978-0-385-52857-6;7;3;It was okay, not what I expected though.;2023-04-20
5;978-0-7434-5256-1;2;4;Very interesting, loved the characters.;2023-04-25
6;978-1-5040-5104-2;10;2;Not my cup of tea, the plot was quite predictable.;2023-04-30
7;978-0-06-112008-4;8;5;A thrilling narrative and compelling story arc.;2023-05-05
8;978-0-316-76948-0;4;5;Beautiful prose and deep, thoughtful themes.;2023-05-10
9;978-0-06-112241-5;6;3;Average, enjoyed some parts more than others.;2023-05-15
10;978-0-553-80269-6;9;4;Good book, but the ending was a bit rushed.;2023-05-20
